Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MyClass.BENCHNIGGA: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 06584355-e20a-416a-bb0f-b52b779b32c0.dll --anonymousPipes 3028 3032 --benchmarkName DiscordBotNet.Bot+MyClass.BENCHNIGGA --job Default --benchmarkId 0 in C:\Users\theiz\Documents\coding\DiscordBotSolution\discordbotnet\bin\Release\net8.0\06584355-e20a-416a-bb0f-b52b779b32c0\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 8.0.6 (8.0.624.26715), X64 RyuJIT AVX2
// GC=Concurrent Server
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob
WorkloadActual  45: 16384 op, 708080000.00 ns, 43.2178 us/op
WorkloadActual  46: 16384 op, 660709000.00 ns, 40.3265 us/op
WorkloadActual  47: 16384 op, 650370700.00 ns, 39.6955 us/op
WorkloadActual  48: 16384 op, 650250200.00 ns, 39.6881 us/op
WorkloadActual  49: 16384 op, 651611600.00 ns, 39.7712 us/op
WorkloadActual  50: 16384 op, 643305900.00 ns, 39.2643 us/op
WorkloadActual  51: 16384 op, 721175500.00 ns, 44.0171 us/op
WorkloadActual  52: 16384 op, 724945400.00 ns, 44.2472 us/op
WorkloadActual  53: 16384 op, 712932200.00 ns, 43.5139 us/op
WorkloadActual  54: 16384 op, 757620200.00 ns, 46.2415 us/op
WorkloadActual  55: 16384 op, 657543200.00 ns, 40.1333 us/op
WorkloadActual  56: 16384 op, 659732500.00 ns, 40.2669 us/op
WorkloadActual  57: 16384 op, 792843200.00 ns, 48.3913 us/op
WorkloadActual  58: 16384 op, 780727100.00 ns, 47.6518 us/op
WorkloadActual  59: 16384 op, 736181100.00 ns, 44.9329 us/op
WorkloadActual  60: 16384 op, 733412600.00 ns, 44.7640 us/op
WorkloadActual  61: 16384 op, 672005800.00 ns, 41.0160 us/op
WorkloadActual  62: 16384 op, 735592800.00 ns, 44.8970 us/op
WorkloadActual  63: 16384 op, 706238600.00 ns, 43.1054 us/op
WorkloadActual  64: 16384 op, 720320500.00 ns, 43.9649 us/op
WorkloadActual  65: 16384 op, 683875500.00 ns, 41.7404 us/op
WorkloadActual  66: 16384 op, 719841700.00 ns, 43.9357 us/op
WorkloadActual  67: 16384 op, 686055300.00 ns, 41.8735 us/op
WorkloadActual  68: 16384 op, 734623300.00 ns, 44.8378 us/op
WorkloadActual  69: 16384 op, 693448200.00 ns, 42.3247 us/op
WorkloadActual  70: 16384 op, 742802900.00 ns, 45.3371 us/op
WorkloadActual  71: 16384 op, 744007900.00 ns, 45.4106 us/op
WorkloadActual  72: 16384 op, 716167600.00 ns, 43.7114 us/op
WorkloadActual  73: 16384 op, 752011300.00 ns, 45.8991 us/op
WorkloadActual  74: 16384 op, 697005800.00 ns, 42.5419 us/op
WorkloadActual  75: 16384 op, 632233100.00 ns, 38.5884 us/op
WorkloadActual  76: 16384 op, 659195000.00 ns, 40.2341 us/op
WorkloadActual  77: 16384 op, 678540300.00 ns, 41.4148 us/op
WorkloadActual  78: 16384 op, 711980900.00 ns, 43.4559 us/op
WorkloadActual  79: 16384 op, 747718500.00 ns, 45.6371 us/op
WorkloadActual  80: 16384 op, 644998800.00 ns, 39.3676 us/op
WorkloadActual  81: 16384 op, 744149000.00 ns, 45.4193 us/op
WorkloadActual  82: 16384 op, 704620000.00 ns, 43.0066 us/op
WorkloadActual  83: 16384 op, 700931500.00 ns, 42.7815 us/op
WorkloadActual  84: 16384 op, 713829400.00 ns, 43.5687 us/op
WorkloadActual  85: 16384 op, 698478200.00 ns, 42.6317 us/op
WorkloadActual  86: 16384 op, 737130700.00 ns, 44.9909 us/op
WorkloadActual  87: 16384 op, 751428800.00 ns, 45.8636 us/op
WorkloadActual  88: 16384 op, 705481100.00 ns, 43.0591 us/op
WorkloadActual  89: 16384 op, 638594100.00 ns, 38.9767 us/op
WorkloadActual  90: 16384 op, 693389200.00 ns, 42.3211 us/op
WorkloadActual  91: 16384 op, 685558200.00 ns, 41.8432 us/op
WorkloadActual  92: 16384 op, 703995600.00 ns, 42.9685 us/op
WorkloadActual  93: 16384 op, 671717700.00 ns, 40.9984 us/op
WorkloadActual  94: 16384 op, 737842900.00 ns, 45.0344 us/op
WorkloadActual  95: 16384 op, 671589900.00 ns, 40.9906 us/op
WorkloadActual  96: 16384 op, 675767900.00 ns, 41.2456 us/op
WorkloadActual  97: 16384 op, 641219000.00 ns, 39.1369 us/op
WorkloadActual  98: 16384 op, 623833600.00 ns, 38.0758 us/op
WorkloadActual  99: 16384 op, 664921200.00 ns, 40.5836 us/op
WorkloadActual  100: 16384 op, 629774200.00 ns, 38.4384 us/op

// AfterActualRun
WorkloadResult   1: 16384 op, 594396700.00 ns, 36.2791 us/op
WorkloadResult   2: 16384 op, 615509100.00 ns, 37.5677 us/op
WorkloadResult   3: 16384 op, 634666700.00 ns, 38.7370 us/op
WorkloadResult   4: 16384 op, 584509800.00 ns, 35.6756 us/op
WorkloadResult   5: 16384 op, 616940300.00 ns, 37.6550 us/op
WorkloadResult   6: 16384 op, 610489400.00 ns, 37.2613 us/op
WorkloadResult   7: 16384 op, 617167600.00 ns, 37.6689 us/op
WorkloadResult   8: 16384 op, 603386800.00 ns, 36.8278 us/op
WorkloadResult   9: 16384 op, 613229000.00 ns, 37.4285 us/op
WorkloadResult  10: 16384 op, 617601600.00 ns, 37.6954 us/op
WorkloadResult  11: 16384 op, 596616000.00 ns, 36.4146 us/op
WorkloadResult  12: 16384 op, 621103000.00 ns, 37.9091 us/op
WorkloadResult  13: 16384 op, 600192800.00 ns, 36.6329 us/op
WorkloadResult  14: 16384 op, 597485000.00 ns, 36.4676 us/op
WorkloadResult  15: 16384 op, 642636900.00 ns, 39.2234 us/op
WorkloadResult  16: 16384 op, 641329500.00 ns, 39.1436 us/op
WorkloadResult  17: 16384 op, 628194900.00 ns, 38.3420 us/op
WorkloadResult  18: 16384 op, 622583700.00 ns, 37.9995 us/op
WorkloadResult  19: 16384 op, 594184100.00 ns, 36.2661 us/op
WorkloadResult  20: 16384 op, 601116100.00 ns, 36.6892 us/op
WorkloadResult  21: 16384 op, 601889800.00 ns, 36.7364 us/op
WorkloadResult  22: 16384 op, 590975700.00 ns, 36.0703 us/op
WorkloadResult  23: 16384 op, 620255400.00 ns, 37.8574 us/op
WorkloadResult  24: 16384 op, 766483700.00 ns, 46.7825 us/op
WorkloadResult  25: 16384 op, 805627000.00 ns, 49.1716 us/op
WorkloadResult  26: 16384 op, 714057400.00 ns, 43.5826 us/op
WorkloadResult  27: 16384 op, 719408000.00 ns, 43.9092 us/op
WorkloadResult  28: 16384 op, 739849200.00 ns, 45.1568 us/op
WorkloadResult  29: 16384 op, 666929700.00 ns, 40.7062 us/op
WorkloadResult  30: 16384 op, 729145300.00 ns, 44.5035 us/op
WorkloadResult  31: 16384 op, 747099700.00 ns, 45.5993 us/op
WorkloadResult  32: 16384 op, 687012200.00 ns, 41.9319 us/op
WorkloadResult  33: 16384 op, 682472600.00 ns, 41.6548 us/op
WorkloadResult  34: 16384 op, 696005100.00 ns, 42.4808 us/op
WorkloadResult  35: 16384 op, 644012900.00 ns, 39.3074 us/op
WorkloadResult  36: 16384 op, 602989700.00 ns, 36.8036 us/op
WorkloadResult  37: 16384 op, 625999900.00 ns, 38.2080 us/op
WorkloadResult  38: 16384 op, 674575300.00 ns, 41.1728 us/op
WorkloadResult  39: 16384 op, 684197800.00 ns, 41.7601 us/op
WorkloadResult  40: 16384 op, 717617300.00 ns, 43.7999 us/op
WorkloadResult  41: 16384 op, 681688200.00 ns, 41.6069 us/op
WorkloadResult  42: 16384 op, 676678600.00 ns, 41.3012 us/op
WorkloadResult  43: 16384 op, 698935700.00 ns, 42.6596 us/op
WorkloadResult  44: 16384 op, 692278100.00 ns, 42.2533 us/op
WorkloadResult  45: 16384 op, 708035200.00 ns, 43.2150 us/op
WorkloadResult  46: 16384 op, 660664200.00 ns, 40.3237 us/op
WorkloadResult  47: 16384 op, 650325900.00 ns, 39.6927 us/op
WorkloadResult  48: 16384 op, 650205400.00 ns, 39.6854 us/op
WorkloadResult  49: 16384 op, 651566800.00 ns, 39.7685 us/op
WorkloadResult  50: 16384 op, 643261100.00 ns, 39.2615 us/op
WorkloadResult  51: 16384 op, 721130700.00 ns, 44.0143 us/op
WorkloadResult  52: 16384 op, 724900600.00 ns, 44.2444 us/op
WorkloadResult  53: 16384 op, 712887400.00 ns, 43.5112 us/op
WorkloadResult  54: 16384 op, 757575400.00 ns, 46.2387 us/op
WorkloadResult  55: 16384 op, 657498400.00 ns, 40.1305 us/op
WorkloadResult  56: 16384 op, 659687700.00 ns, 40.2641 us/op
WorkloadResult  57: 16384 op, 792798400.00 ns, 48.3886 us/op
WorkloadResult  58: 16384 op, 780682300.00 ns, 47.6491 us/op
WorkloadResult  59: 16384 op, 736136300.00 ns, 44.9302 us/op
WorkloadResult  60: 16384 op, 733367800.00 ns, 44.7612 us/op
WorkloadResult  61: 16384 op, 671961000.00 ns, 41.0132 us/op
WorkloadResult  62: 16384 op, 735548000.00 ns, 44.8943 us/op
WorkloadResult  63: 16384 op, 706193800.00 ns, 43.1026 us/op
WorkloadResult  64: 16384 op, 720275700.00 ns, 43.9621 us/op
WorkloadResult  65: 16384 op, 683830700.00 ns, 41.7377 us/op
WorkloadResult  66: 16384 op, 719796900.00 ns, 43.9329 us/op
WorkloadResult  67: 16384 op, 686010500.00 ns, 41.8708 us/op
WorkloadResult  68: 16384 op, 734578500.00 ns, 44.8351 us/op
WorkloadResult  69: 16384 op, 693403400.00 ns, 42.3220 us/op
WorkloadResult  70: 16384 op, 742758100.00 ns, 45.3344 us/op
WorkloadResult  71: 16384 op, 743963100.00 ns, 45.4079 us/op
WorkloadResult  72: 16384 op, 716122800.00 ns, 43.7087 us/op
WorkloadResult  73: 16384 op, 751966500.00 ns, 45.8964 us/op
WorkloadResult  74: 16384 op, 696961000.00 ns, 42.5391 us/op
WorkloadResult  75: 16384 op, 632188300.00 ns, 38.5857 us/op
WorkloadResult  76: 16384 op, 659150200.00 ns, 40.2313 us/op
